timestamp,rudder_angle_setpoint_rad,rate_of_turn
1789134881565821,-0.1805604100227356,-0.1805604100227356
1789134881575821,-0.045007217675447464,-0.045007217675447464
1789134881583821,-0.03924667090177536,-0.03924667090177536
1789134881593821,-0.016794869676232338,-0.016794869676232338
1789134881601821,-0.14942236244678497,-0.14942236244678497
1789134881613994,-0.08026497811079025,-0.08026497811079025
1789134881625994,-0.148437961935997,-0.148437961935997
1789134881635994,-0.15426412224769592,-0.15426412224769592
1789134881643994,-0.10568548738956451,-0.10568548738956451
1789134881653994,-0.09315534681081772,-0.09315534681081772
1789134881663994,-0.03445379436016083,-0.03445379436016083
1789134881673994,-0.10580291599035263,-0.10580291599035263
1789134881685994,-0.26369303464889526,-0.26369303464889526
1789134881693994,-0.11555324494838715,-0.11555324494838715
1789134881699994,-0.11305098235607147,-0.11305098235607147
1789134881713994,-0.09032190591096878,-0.09032190591096878
1789134881723994,-0.04866122826933861,-0.04866122826933861
1789134881733994,-0.15800489485263824,-0.15800489485263824
1789134881743994,-0.08150776475667953,-0.08150776475667953
1789134881755994,-0.11835841089487076,-0.11835841089487076
1789134881763994,-0.07931651175022125,-0.07931651175022125
1789134881773994,-0.06896825134754181,-0.06896825134754181
1789134881783994,-0.048045527189970016,-0.048045527189970016
1789134881793994,-0.07942043989896774,-0.07942043989896774
1789134881805994,-0.030755124986171722,-0.030755124986171722
1789134881813994,-0.004442326258867979,-0.004442326258867979
1789134881823994,0.025489332154393196,0.025489332154393196
1789134881831994,0.037904903292655945,0.037904903292655945
1789134881843994,0.04557891562581062,0.04557891562581062
1789134881853994,0.02550647407770157,0.02550647407770157
1789134881863994,-0.009044851176440716,-0.009044851176440716
1789134881875994,-0.004230291582643986,-0.004230291582643986
1789134881883994,0.020212600007653236,0.020212600007653236
1789134881893994,0.026965556666254997,0.026965556666254997
1789134881899994,-0.046427518129348755,-0.046427518129348755
1789134881913994,0.008326818235218525,0.008326818235218525
1789134881925994,-0.03205959126353264,-0.03205959126353264
1789134881935994,-0.004238576628267765,-0.004238576628267765
1789134881941994,-2.1217536414042115e-05,-2.1217536414042115e-05
1789134881953994,0.009878487326204777,0.009878487326204777
1789134881963994,0.0438775010406971,0.0438775010406971
1789134881973994,-2.229626988992095e-05,-2.229626988992095e-05
1789134881985994,-0.14688649773597717,-0.14688649773597717
1789134881987994,-0.0532989576458931,-0.0532989576458931
1789134882003994,-0.05246736481785774,-0.05246736481785774
1789134882013994,-0.04346076399087906,-0.04346076399087906
1789134882023994,-0.026021674275398254,-0.026021674275398254
1789134882031994,-0.13229693472385406,-0.13229693472385406
1789134882045994,-0.05541549250483513,-0.05541549250483513
1789134882055994,-0.0242447592318058,-0.0242447592318058
1789134882061994,-0.0166182778775692,-0.0166182778775692
1789134882073994,-0.0008531001512892544,-0.0008531001512892544
1789134882083994,0.03169627860188484,0.03169627860188484
1789134882093994,-0.01665502041578293,-0.01665502041578293
1789134882105994,-0.19124099612236023,-0.19124099612236023
1789134882107994,-0.08823619782924652,-0.08823619782924652
1789134882123994,-0.032672617584466934,-0.032672617584466934
