timestamp,rudder_angle_setpoint_rad
1789132673229053,-0.0027827841695398092
1789132673240981,-0.002782936906442046
1789132673247063,-0.00278301490470767
1789132673259054,-0.002783168340101838
1789132673271010,-0.0027833215426653624
1789132673283095,-0.0027834761422127485
1789132673285982,-0.0027835131622850895
1789132673295597,-0.0027836363296955824
1789132673306994,-0.0027837823145091534
1789132673319073,-0.0027839369140565395
1789132673330989,-0.0027840896509587765
1789132673343107,-0.00278424471616745
1789132673349066,-0.0027843210846185684
1789132673355036,-0.002784397453069687
1789132673373087,-0.002784628653898835
1789132673379134,-0.002784706186503172
1789132673390993,-0.0027894440572708845
1789132673403102,-0.0027895993553102016
1789132673405972,-0.002789636142551899
1789132673414996,-0.002789751859381795
1789132673426992,-0.00278990576043725
1789132673439059,-0.00279006059281528
1789132673450990,-0.002790213795378804
1789132673463085,-0.0027903688605874777
1789132673469074,-0.0027904456946998835
1789132673474994,-0.0027905215974897146
1789132673493078,-0.0027907537296414375
1789132673499053,-0.0027908303309231997
1789132673511064,-0.0027909844648092985
1789132673523094,-0.002791138831526041
1789132673526018,-0.0027911763172596693
1789132673534996,-0.0027912913355976343
1789132673546995,-0.0027914452366530895
1789132673559053,-0.0027916000690311193
1789132673571000,-0.0027917532715946436
1789132673583086,-0.002791908336803317
1789132673594996,-0.0027920613065361977
1789132673606993,-0.002792215207591653
1789132673610083,-0.002792254788801074
1789132673619075,-0.0027923700399696827
1789132673630990,-0.0027925230097025633
1789132673643323,-0.0027926811017096043
1789132673645976,-0.0027927153278142214
1789132673655052,-0.0027928317431360483
1789132673669984,-0.0027930233627557755
1789132673681982,-0.0027931774966418743
1789132673690995,-0.06849387288093567
1789132673703088,-0.002848975360393524
1789132673705973,-0.002849013078957796
1789132673715069,-0.0028491325210779905
1789132673726989,-0.0028492887504398823
1789132673739052,-0.002849447075277567
1789132673750990,-0.0028499362524598837
1789132673763100,-0.0028500868938863277
1789132673765973,-0.0028498005121946335
1789132673775074,-0.0028499197214841843
1789132673786990,-0.0028500761836767197
1789132673799052,-0.0028502342756837606
1789132673810993,-0.0028503909707069397
1789132673823087,-0.002850549528375268
1789132673825981,-0.0028505877126008272
1789132673835006,-0.0028552922885864973
1789132673846993,-0.0028554496821016073
1789132673859062,-0.002855608006939292
1789132673871001,-0.0028557649347931147
1789132673883098,-0.0028559239581227303
1789132673885982,-0.002855961909517646
1789132673895000,-0.0028560804203152657
1789132673913089,-0.0028563181404024363
1789132673921994,-0.0028564350213855505
1789132673934011,-0.002856592880561948
1789132673943119,-0.0028567127883434296
1789132673945982,-0.002856750274077058
1789132673964009,-0.0028569872956722975
1789132673967000,-0.0028570264112204313
1789132673979071,-0.0028571852017194033
1789132673991000,-0.0028573418967425823
1789132674003115,-0.0028575011529028416
1789132674011982,-0.0028576175682246685
1789132674015007,-0.0028576573822647333
1789132674026999,-0.002857815008610487
1789132674039157,-0.0028579747304320335
1789132674050999,-0.0028581302613019943
1789132674063104,-0.0028582895174622536
1789132674072151,-0.002858408261090517
1789132674075055,-0.0028637161012738943
1789132674087000,-0.0028631899040192366
1789132674099063,-0.002863992238417268
1789132674111001,-0.0028638404328376055
1789132674123104,-0.0028636648785322905
1789132674125997,-0.002863702829927206
1789132674135029,-0.002863821806386113
1789132674153198,-0.0028640609234571457
1789132674159147,-0.002864139387384057
1789132674171222,-0.0028642984107136726
1789132674183200,-0.0028644560370594263
1789132674186073,-0.002864493988454342
1789132674195093,-0.0028646127320826054
1789132674207090,-0.0028647705912590027
1789132674219151,-0.0028649293817579746
1789132674231100,-0.0028650867752730846
1789132674243223,-0.0028652462642639875
1789132674255135,-0.0028654031921178102
1789132674267118,-0.002865560818463564
1789132674270164,-0.002865601098164916
1789132674279148,-0.002865719376131892
1789132674291086,-0.0028658765368163586
1789132674303337,-0.002866037655621767
1789132674309155,-0.002866114256903529
1789132674318072,-0.0028662316035479307
1789132674327087,-0.002870931290090084
1789132674339159,-0.0028710903134196997
1789132674351097,-0.0028712477069348097
1789132674363195,-0.0028714074287563562
1789132674366083,-0.002871445380151272
1789132674375087,-0.0028715641237795353
1789132674387095,-0.00287172244861722
1789132674399283,-0.19562357664108276
1789132674411088,-0.002923631574958563
1789132674423199,-0.0029231335502117872
1789132674426069,-0.0029231722000986338
1789132674435211,-0.002923295134678483
1789132674447116,-0.002923455322161317
1789132674462082,-0.002923656487837434
1789132674474122,-0.002923818537965417
1789132674483207,-0.002923940774053335
1789132674495095,-0.0029241007287055254
1789132674507114,-0.002924262313172221
1789132674510204,-0.0029243039898574352
1789132674519160,-0.002924424596130848
1789132674531098,-0.0029245850164443254
1789132674543236,-0.0029247484635561705
1789132674549154,-0.0029248280916363
1789132674561096,-0.0029249887447804213
1789132674570072,-0.002925109351053834
1789132674579162,-0.0029252315871417522
1789132674591087,-0.0029253922402858734
1789132674603247,-0.0029255556873977184
1789132674606112,-0.002925594337284565
1789132674615089,-0.0029257151763886213
1789132674627111,-0.002925876760855317
1789132674639157,-0.002999406075105071
1789132674651086,-0.002999568823724985
1789132674663195,-0.0029997341334819794
1789132674666138,-0.002999774878844619
1789132674681076,-0.0029999813996255398
1789132674687086,-0.0031468013767153025
1789132674699246,-0.0031469720415771008
1789132674711119,-0.0031471452675759792
1789132674723199,-0.003147321520373225
1789132674726083,-0.0031473636627197266
1789132674735146,-0.003147495910525322
1789132674747099,-0.0032210408244282007
1789132674759162,-0.003286056686192751
1789132674771088,-0.0032855961471796036
1789132674783194,-0.003285781480371952
1789132674786072,-0.0032858257181942463
1789132674795092,-0.003285963786765933
1789132674807104,-0.003286147490143776
1789132674819168,-0.003286332357674837
1789132674831174,-0.00328651606105268
1789132674843220,-0.0032637694384902716
1789132674846100,-0.0032638132106512785
1789132674855151,-0.06866112351417542
1789132674867129,-0.0033058938570320606
1789132674879157,-0.003306079190224409
1789132674891114,-0.003283332334831357
1789132674903221,-0.0032697641290724277
1789132674912080,-0.0032698989380151033
1789132674915098,-0.0032516003120690584
1789132674927095,-0.0032517816871404648
1789132674939175,-0.0032519642263650894
1789132674951113,-0.003252144902944565
1789132674963281,-0.0032523288391530514
1789132674966082,-0.0032523712143301964
1789132674978101,-0.0032525528222322464
1789132674987104,-0.003220590762794018
1789132674999159,-0.0032207726035267115
1789132675011097,-0.0032209509517997503
1789132675023208,-0.003221132094040513
1789132675026077,-0.003221175167709589
1789132675035133,-0.003221310442313552
1789132675047133,-0.003221489954739809
1789132675059163,-0.0032033310271799564
1789132675071113,-0.0031851648818701506
1789132675083207,-0.003185343462973833
1789132675086081,-0.003185385838150978
1789132675095164,-0.0031855199486017227
1789132675107097,-0.0031856962013989687
1789132675119167,-0.003185874316841364
1789132675134163,-0.003186095505952835
1789132675143251,-0.003158936044201255
1789132675155134,-0.003149718511849642
1789132675158079,-0.0031589337158948183
1789132675167120,-0.003149893367663026
1789132675179161,-0.003150069387629628
1789132675191107,-0.0031502435449510813
1789132675203295,-0.003150421194732189
1789132675209178,-0.003150506876409054
1789132675221101,-0.003150680335238576
1789132675233188,-0.0031508561223745346
1789132675239163,-0.003114264691248536
1789132675251095,-0.0031144374515861273
1789132675263213,-0.0031146116089075804
1789132675266078,-0.003114652819931507
1789132675275108,-0.003114782739430666
1789132675287108,-0.003114955499768257
1789132675299160,-0.19950000941753387
1789132675311098,-0.003129536984488368
1789132675323205,-0.0031297120731323957
1789132675326178,-0.0031297551468014717
1789132675335173,-0.0031298850663006306
1789132675347112,-0.0031300578266382217
1789132675359224,-0.0031302329152822495
1789132675371115,-0.003130404744297266
1789132675383235,-0.0031122348736971617
1789132675386086,-0.003130620578303933
1789132675395101,-0.0031032387632876635
1789132675407125,-0.0031034108251333237
1789132675419160,-0.0031035831198096275
1789132675431095,-0.0031037540175020695
1789132675443242,-0.0030855832155793905
1789132675452094,-0.0030857091769576073
1789132675464103,-0.003085879608988762
1789132675467145,-0.0030584114138036966
1789132675479157,-0.0030585818458348513
1789132675491192,-0.0030587513465434313
1789132675503251,-0.003058921080082655
1789132675515136,-0.0030590882524847984
1789132675527205,-0.003050085622817278
1789132675530087,-0.0030592982657253742
1789132675539171,-0.003031914122402668
1789132675551100,-0.0030229075346142054
1789132675563218,-0.003023075871169567
1789132675566096,-0.0030231159180402756
1789132675581083,-0.0030233238358050585
1789132675587133,-0.0030234078876674175
1789132675599191,-0.0030235752929002047
1789132675614027,-0.0030237813480198383
1789132675623215,-0.0029918106738477945
1789132675625998,-0.0030239461921155453
1789132675635032,-0.002991973189637065
1789132675647010,-0.0029921375680714846
1789132675659074,-0.0029923031106591225
1789132675671010,-0.002992466790601611
1789132675683105,-0.0029926327988505363
1789132675686017,-0.002992672612890601
1789132675697993,-0.0029928365256637335
1789132675707011,-0.00295627536252141
1789132675719087,-0.0029564404394477606
1789132675731027,-0.0029566020239144564
1789132675743115,-0.002956765703856945
1789132675745993,-0.0029568045865744352
1789132675755079,-0.0029569275211542845
1789132675770003,-0.0029571293853223324
1789132675781995,-0.002957291202619672
1789132675791014,-0.0029253149405121803
1789132675803109,-0.0029254774563014507
1789132675811998,-0.002925596432760358
1789132675815013,-0.00292563671246171
1789132675827011,-0.002925796899944544
1789132675839082,-0.0029167861212044954
1789132675851012,-0.002907778136432171
1789132675863103,-0.002889594528824091
1789132675875044,-0.0028897516895085573
1789132675881007,-0.0028898301534354687
1789132675887090,-0.0028899102471768856
1789132675899102,-0.0028900685720145702
1789132675911022,-0.002890225499868393
1789132675923119,-0.002890384988859296
1789132675926041,-0.0028904234059154987
1789132675935412,-0.0028767932672053576
1789132675947026,-0.0028635284397751093
1789132675959082,-0.00286463531665504
1789132675971020,-0.0028641638346016407
1789132675983112,-0.0028636592905968428
1789132675986076,-0.0028636979404836893
1789132676001017,-0.002863892586901784
1789132676013108,0.0944378450512886
1789132676019158,-0.10062817484140396
1789132676031039,-0.10095953941345215
1789132676043132,-0.09943851083517075
1789132676046003,-0.0028832978568971157
1789132676055058,-0.002883416833356023
1789132676067020,-0.0028835737612098455
1789132676079103,-0.002883732318878174
1789132676091023,-0.0028563772793859243
1789132676103115,-0.002856534207239747
1789132676106003,-0.0028565716929733753
1789132676121012,-0.0028567665722221136
1789132676127020,-0.0028568445704877377
1789132676139083,-0.0028570012655109167
1789132676151089,-0.002857157262042165
1789132676163164,-0.002857313957065344
1789132676166005,-0.002857350977137685
1789132676175023,-0.002829955890774727
1789132676187024,-0.0028301100246608257
1789132676199080,-0.0028302648570388556
1789132676211021,-0.0028304182924330235
1789132676223148,-0.0028305738233029842
1789132676232080,-0.0028306886088103056
1789132676244040,-0.002830842277035117
1789132676247038,-0.0028079499024897814
1789132676259083,-0.0027760067023336887
1789132676271036,-0.00277615780942142
1789132676283206,-0.002776310546323657
1789132676295042,-0.002776459092274308
1789132676298014,-0.0027764965780079365
1789132676310031,-0.0027766453567892313
1789132676322012,-0.0027767883148044348
1789132676331113,-0.00261641014367342
1789132676343130,-0.002616556128486991
1789132676346003,-0.002616589656099677
1789132676355026,-0.0026166955940425396
1789132676367021,-0.002616835990920663
1789132676379093,-0.0026169775519520044
1789132676391021,-0.0025987783446907997
1789132676403119,-0.0025989189743995667
1789132676415094,-0.0025990582071244717
1789132676427039,-0.0025991969741880894
1789132676439089,-0.002599337138235569
1789132676442002,-0.0025993711315095425
1789132676451024,-0.0025994759052991867
1789132676463113,-0.0025996165350079536
1789132676466035,-0.002599650528281927
1789132676484073,-0.0025998603086918592
1789132676487023,-0.0026044808328151703
1789132676499090,-0.0026046212296932936
1789132676511021,-0.002604760229587555
1789132676523125,-0.002604901324957609
1789132676526002,-0.0026049348525702953
1789132676535030,-0.0026050398591905832
1789132676553126,-0.0026052508037537336
1789132676562013,-0.0026053544133901596
1789132676574028,-0.0026054945774376392
1789132676583115,-0.0026101868133991957
1789132676592005,-0.0026102904230356216
1789132676595036,-0.002610325813293457
1789132676607033,-0.0026104659773409367
1789132676619086,-0.0026106066070497036
1789132676631021,-0.0026107460726052523
1789132676643209,-0.00261609791778028
1789132676652007,-0.0026155775412917137
1789132676655036,-0.002615612931549549
1789132676667020,-0.0026157533284276724
1789132676679149,-0.0026158951222896576
1789132676691020,-0.002616034122183919
1789132676703129,-0.0026161756832152605
1789132676706035,-0.002616209676489234
1789132676715075,-0.002616315381601453
1789132676727033,-0.0026210362557321787
1789132676739082,-0.0026211771182715893
1789132676751018,-0.0026213170494884253
1789132676763112,-0.0026214588433504105
1789132676766004,-0.0026214926037937403
1789132676775049,-0.0026215987745672464
1789132676787039,-0.0026217391714453697
1789132676799082,-0.0026218804996460676
1789132676811096,0.09472619742155075
1789132676823120,0.09420061856508255
1789132676826003,-0.20775604248046875
1789132676835025,0.06297500431537628
1789132676847026,-0.0025761080905795097
1789132676859082,-0.00257624639198184
1789132676871021,-0.0025763835292309523
1789132676883142,-0.0025811088271439075
1789132676892023,-0.0025812110397964716
1789132676904038,-0.002581349341198802
1789132676907050,-0.0025859700981527567
1789132676919103,-0.0025861088652163744
1789132676931032,-0.002586246468126774
1789132676943242,-0.0025863873306661844
1789132676946019,-0.002586419228464365
1789132676955376,-0.0025865272618830204
1789132676970016,-0.002586696296930313
1789132676979105,-0.002595973666757345
1789132676991030,-0.0025961115024983883
1789132677003141,-0.002596251666545868
1789132677006032,-0.002596285194158554
1789132677015031,-0.0025963892694562674
1789132677027042,-0.0025965282693505287
1789132677039122,-0.0025920821353793144
1789132677051032,-0.0025692940689623356
1789132677063124,-0.0025694333016872406
1789132677066014,-0.0025694663636386395
1789132677075106,-0.002569570206105709
1789132677087031,-0.0025697066448628902
1789132677099098,-0.002569844713434577
1789132677114055,-0.0025700137484818697
1789132677123134,-0.002441718243062496
1789132677135038,-0.002441846299916506
1789132677147035,-0.0024419755209237337
1789132677150013,-0.002442007651552558
1789132677159109,-0.0024421056732535362
1789132677171048,-0.002442234195768833
1789132677183124,-0.0024423643480986357
1789132677189099,-0.002442428609356284
1789132677201020,-0.0024425568990409374
1789132677207105,-0.002456381218507886
1789132677219097,-0.002456510439515114
1789132677231035,-0.002456639427691698
1789132677243148,-0.002456770744174719
1789132677246016,-0.0024568019434809685
1789132677264037,-0.002456997288390994
1789132677267036,-0.0024570298846811056
1789132677279104,-0.0024663328658789396
1789132677291032,-0.0024952960666269064
1789132677303142,-0.0024941081646829844
1789132677306083,-0.0024941405281424522
1789132677315034,-0.0024942392483353615
1789132677327032,-0.002494371496140957
1789132677339162,-0.002494505373761058
1789132677351041,-0.002494636457413435
1789132677363123,-0.0025176960043609142
1789132677366024,-0.002494803164154291
1789132677375038,-0.002522414783015847
1789132677387031,-0.002522548660635948
1789132677399094,-0.0025226823054254055
1789132677411032,-0.002522815717384219
1789132677423133,-0.0025229507591575384
1789132677426014,-0.0025229831226170063
1789132677444050,-0.002523184521123767
1789132677453111,-0.0025232860352844
1789132677459092,-0.0025554511230438948
1789132677471100,-0.002555586164817214
1789132677483127,-0.002555722603574395
1789132677489086,-0.002555790124461055
1789132677495034,-0.0025558576453477144
1789132677507042,-0.002555993851274252
1789132677519119,-0.002569889184087515
1789132677531038,-0.0025883649941533804
1789132677543145,-0.002588504459708929
1789132677546033,-0.002588537521660328
1789132677555056,-0.0025886413641273975
1789132677567031,-0.0025887791998684406
1789132677579135,-0.0025889184325933456
1789132677591032,-0.002589055337011814
1789132677603266,-0.002602954860776663
1789132677609089,-0.002603022148832679
1789132677615035,-0.002612257841974497
1789132677627032,-0.002612397540360689
1789132677639103,-0.0026125372387468815
1789132677651031,-0.002612676005810499
1789132677663128,-0.002612816635519266
1789132677675145,-0.0026129563339054585
1789132677684051,-0.0026130599435418844
1789132677690014,-0.002613129559904337
1789132677699088,-0.002640752587467432
1789132677711053,-0.0026408927515149117
1789132677723127,-0.002641033846884966
1789132677726014,-0.0026410678401589394
1789132677735108,-0.00264117494225502
1789132677747032,-0.0026413151063024998
1789132677762023,-0.0026414915919303894
1789132677774045,-0.0026416343171149492
1789132677783130,-0.0026738340966403484
